sample	rawreads1	rawreads2	assembly
SU64_5	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU64_5/SU64_5_EKDN220043669-1A_HKFCGDSX5_L3_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU64_5/SU64_5_EKDN220043669-1A_HKFCGDSX5_L3_2.fq.gz	Suohpatjavri
SU65_6	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU65_6/SU65_6_EKDN220043670-1A_HKFCGDSX5_L3_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU65_6/SU65_6_EKDN220043670-1A_HKFCGDSX5_L3_2.fq.gz	Suohpatjavri
SU66_7	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU66_7/SU66_7_EKDN220043671-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU66_7/SU66_7_EKDN220043671-1A_HKK5MDSX5_L4_2.fq.gz	Suohpatjavri
SU67_8	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU67_8/SU67_8_EKDN220043672-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_05/01.RawData/SU67_8/SU67_8_EKDN220043672-1A_HKK5MDSX5_L4_2.fq.gz	Suohpatjavri
SU68_9	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU68_9/SU68_9_EKDN220043673-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU68_9/SU68_9_EKDN220043673-1A_HKK5MDSX5_L4_2.fq.gz	Suohpatjavri
SU70_10_1	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU70_10/SU70_10_EKDN220043674-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU70_10/SU70_10_EKDN220043674-1A_HKK5MDSX5_L4_2.fq.gz	Suohpatjavri
SU70_10_2	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU70_10/SU70_10_EKDN220043674-1A_HLY2LDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU70_10/SU70_10_EKDN220043674-1A_HLY2LDSX5_L4_2.fq.gz	Suohpatjavri
SU71_14_1	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU71_14/SU71_14_EKDN220043678-1A_HKF3KDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU71_14/SU71_14_EKDN220043678-1A_HKF3KDSX5_L1_2.fq.gz	Suohpatjavri
SU71_14_2	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU71_14/SU71_14_EKDN220043678-1A_HKL2VDSX5_L2_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU71_14/SU71_14_EKDN220043678-1A_HKL2VDSX5_L2_2.fq.gz	Suohpatjavri
SU76_15	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU76_15/SU76_15_EKDN220043679-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU76_15/SU76_15_EKDN220043679-1A_HKK5MDSX5_L4_2.fq.gz	Suohpatjavri
SU78_16_1	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU78_16/SU78_16_EKDN220043680-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU78_16/SU78_16_EKDN220043680-1A_HKK5MDSX5_L4_2.fq.gz	Suohpatjavri
SU78_16_2	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU78_16/SU78_16_EKDN220043680-1A_HLY2LDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU78_16/SU78_16_EKDN220043680-1A_HLY2LDSX5_L4_2.fq.gz	Suohpatjavri
SU8_2_1	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU8_2/SU8_2_EKDN220043666-1A_HKF3KDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU8_2/SU8_2_EKDN220043666-1A_HKF3KDSX5_L1_2.fq.gz	Suohpatjavri
SU8_2_2	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU8_2/SU8_2_EKDN220043666-1A_HKFCGDSX5_L3_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU8_2/SU8_2_EKDN220043666-1A_HKFCGDSX5_L3_2.fq.gz	Suohpatjavri
SU80_18	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU80_18/SU80_18_EKDN220043682-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU80_18/SU80_18_EKDN220043682-1A_HLY7KDSX5_L4_2.fq.gz	Suohpatjavri
SU81_19	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU81_19/SU81_19_EKDN220043683-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU81_19/SU81_19_EKDN220043683-1A_HKK5MDSX5_L4_2.fq.gz	Suohpatjavri
SU83_20_1	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU83_20/SU83_20_EKDN220043684-1A_HKF3KDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU83_20/SU83_20_EKDN220043684-1A_HKF3KDSX5_L1_2.fq.gz	Suohpatjavri
SU83_20_2	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU83_20/SU83_20_EKDN220043684-1A_HKL2VDSX5_L1_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_01/01.RawData/SU83_20/SU83_20_EKDN220043684-1A_HKL2VDSX5_L1_2.fq.gz	Suohpatjavri
